year,species_code,sex,length,age,p_total,region
2014,10110,female,850,27,0.005263157894736842,ai
2014,21720,female,1110,9,0.0038461538461538464,ai
2014,21720,female,1130,13,0.0038461538461538464,ai
2018,10261,female,470,22,0.0031847133757961785,bs
2019,10285,female,590,27,0.0031645569620253164,bs
2021,10110,female,770,15,0.0024630541871921183,bs
2017,30420,female,170,3,0.003875968992248062,goa
2019,21720,female,960,8,0.003952569169960474,goa
2019,21720,female,970,10,0.003952569169960474,goa
2021,21720,male,960,7,0.003937007874015748,goa
