Stock,Scientific name,Survey evaluated
Alaska plaice,Pleuronectes quadrituberculatus,EBS
arrowtooth flounder,Atheresthes stomias,"AI, EBS, GOA"
Atka mackerel,Pleurogrammus monopterygius,AI
Dover sole,Microstomus pacificus,GOA
flathead sole,Hippoglossoides elassodon,"EBS, GOA"
Greenland turbot,Reinhardtius hippoglossoides,EBS
Kamchatka flounder,Atheresthes evermanni,EBS
northern rock sole,Lepidopsetta polyxystra,"EBS, GOA"
northern rockfish,Sebastes polyspinis,"AI, GOA"
Pacific cod,Gadus macrocephalus,"AI, EBS, GOA"
Pacific ocean perch,Sebastes alutus,"AI, GOA"
rex sole,Glyptocephalus,GOA
southern rock sole,Lepidopsetta billineta,GOA
walleye pollock,Gadus chalcogrammus,"AI, EBS, GOA"
yellowfin sole,Limanda aspera,EBS
