Stock,Scientific name,AI,EBS,GOA
Alaska plaice,Pleuronectes quadrituberculatus,,10486 (327),
arrowtooth flounder,Atheresthes stomias,9868 (460),14928 (702),36842 (597)
Atka mackerel,Pleurogrammus monopterygius,7888 (610),,
Dover sole,Microstomus pacificus,,,3020 (224)
flathead sole,Hippoglossoides elassodon,4602 (0),22356 (810),15233 (225)
Greenland turbot,Reinhardtius hippoglossoides,,266 (131),
Kamchatka flounder,Atheresthes evermanni,3526 (0),2454 (460),
northern rock sole,Lepidopsetta polyxystra,10754 (0),24698 (584),3685 (197)
northern rockfish,Sebastes polyspinis,14928 (571),,2298 (447)
Pacific cod,Gadus macrocephalus,5723 (604),11477 (1449),3452 (464)
Pacific ocean perch,Sebastes alutus,32491 (1019),,23319 (1150)
rex sole,Glyptocephalus,,,12878 (412)
southern rock sole,Lepidopsetta billineta,,,7190 (730)
walleye pollock,Gadus chalcogrammus,10806 (791),49544 (1600),16772 (1075)
yellowfin sole,Limanda aspera,,28108 (845),
