Stock,AI,EBS,GOA
Alaska plaice,--,200 - 700,--
arrowtooth flounder,"400 - 1,200","600 - 2,000","2,900 - 8,300"
Atka mackerel,"400 - 1,700",--,--
flathead sole,200 - 600,"1,000 - 3,500","500 - 2,200"
northern rock sole,--,"1,400 - 4,400",100 - 400
northern rockfish,"1,600 - 4,800",--,100 - 500
Pacific cod,100 - 500,200 - 800,100 - 200
Pacific ocean perch,"4,300 - 12,000",--,"2,200 - 7,300"
rex sole,--,--,100 - 800
southern rock sole,--,--,100 - 400
walleye pollock,"100 - 2,500","5,300 - 14,500","2,600 - 4,700"
yellowfin sole,--,"2,000 - 6,300",--
Total,"7,000 - 23,000","11,000 - 32,000","9,000 - 25,000"
